filename,platform,prompt_tokens,completion_tokens,total_time_sec,tokens_per_second,valid_json
2601.07239v1_Stochastic CHAOS Why Deterministic Inference Kills.pdf,AMD RX 6800 (Vulkan),835,212,7.621273756027222,27.816872452894312,True
2601.07245v1_Learning to Trust the Crowd A Multi-Model Consensu.pdf,AMD RX 6800 (Vulkan),827,120,4.536010503768921,26.45496519469991,True
2601.07250v1_DDT A Dual-Masking Dual-Expert Transformer for Ene.pdf,AMD RX 6800 (Vulkan),847,125,4.752802133560181,26.300274340763746,True
2601.07261v1_Pseudodata-guided Invariant Representation Learnin.pdf,AMD RX 6800 (Vulkan),525,132,4.528789758682251,29.146859764673255,True
2601.07263v1_When Bots Take the Bait Exposing and Mitigating th.pdf,AMD RX 6800 (Vulkan),937,170,6.319689750671387,26.900054703150523,True
2601.07291v1_A Visual Semantic Adaptive Watermark grounded by P.pdf,AMD RX 6800 (Vulkan),982,161,6.006305694580078,26.805162472046984,True
2601.07292v1_Photometric Redshift Estimation Using Scaled Ensem.pdf,AMD RX 6800 (Vulkan),985,157,5.894976615905762,26.632845256143053,True
2601.07296v1_LRAS Advanced Legal Reasoning with Agentic Search.pdf,AMD RX 6800 (Vulkan),966,146,5.552441358566284,26.29473965983482,True
2601.07304v1_Heterogeneous Multi-Expert Reinforcement Learning .pdf,AMD RX 6800 (Vulkan),877,127,4.895205497741699,25.943752526546394,True
2601.07309v1_ARM Role-Conditioned Neuron Transplantation for Tr.pdf,AMD RX 6800 (Vulkan),735,162,5.942265748977661,27.262328351415675,True
2601.07313v1_Explaining Machine Learning Predictive Models thro.pdf,AMD RX 6800 (Vulkan),805,149,5.601978302001953,26.59774671864626,True
2601.07315v1_VLM-CAD VLM-Optimized Collaborative Agent Design W.pdf,AMD RX 6800 (Vulkan),894,160,5.900491237640381,27.1163863407387,True
2601.07316v1_BEAT-Net Injecting Biomimetic Spatio-Temporal Prio.pdf,AMD RX 6800 (Vulkan),797,173,6.1637537479400635,28.06731207550543,True
2601.07320v1_Segmental Advantage Estimation Enhancing PPO for L.pdf,AMD RX 6800 (Vulkan),867,219,7.812649488449097,28.031463631356907,True
2601.07342v1_Agentic Diagnostic Reasoning over Telecom and Data.pdf,AMD RX 6800 (Vulkan),674,98,3.7586147785186768,26.07343550078393,True
2601.07344v1_PulseMind A Multi-Modal Medical Model for Real-Wor.pdf,AMD RX 6800 (Vulkan),965,202,7.310437917709351,27.631723608603544,True
2601.07348v4_Controlled Self-Evolution for Algorithmic Code Opt.pdf,AMD RX 6800 (Vulkan),624,178,6.206971645355225,28.677430826222675,True
2601.07351v2_Beyond Hard Masks Progressive Token Evolution for .pdf,AMD RX 6800 (Vulkan),1113,170,6.422035455703735,26.47135805658226,True
2601.07356v1_Efficient Convolutional Forward Model for Passive .pdf,AMD RX 6800 (Vulkan),996,139,5.329083681106567,26.083283415646626,True
2601.07359v1_Seeing Right but Saying Wrong Inter- and Intra-Lay.pdf,AMD RX 6800 (Vulkan),853,127,4.7808427810668945,26.564353988578272,True
2601.07364v1_On the universal definition of intelligence.pdf,AMD RX 6800 (Vulkan),443,90,3.2016313076019287,28.110669640912334,True
2601.07372v1_Conditional Memory via Scalable Lookup A New Axis .pdf,AMD RX 6800 (Vulkan),863,201,7.185566425323486,27.97274259293361,True
2601.07376v1_OpenTinker Separating Concerns in Agentic Reinforc.pdf,AMD RX 6800 (Vulkan),790,115,4.312350749969482,26.667589597347533,True
2601.07377v1_Learning Dynamic Collaborative Network for Semi-su.pdf,AMD RX 6800 (Vulkan),920,129,4.812572002410889,26.804793764202724,True
2601.07389v1_On the Non-decoupling of Supervised Fine-tuning an.pdf,AMD RX 6800 (Vulkan),790,154,5.533811569213867,27.828920098534766,True
2601.07392v1_OceanSAR-2 A Universal Feature Extractor for SAR O.pdf,AMD RX 6800 (Vulkan),868,190,6.863013982772827,27.684629592323127,True
2601.07393v1_Software-Hardware Co-optimization for Modular E2E .pdf,AMD RX 6800 (Vulkan),797,171,6.108755350112915,27.9926090012492,True
2601.07395v1_MCP-ITP An Automated Framework for Implicit Tool P.pdf,AMD RX 6800 (Vulkan),908,125,4.79972505569458,26.043158420438093,True
2601.07397v1_Layerwise goal-oriented adaptivity for neural ODEs.pdf,AMD RX 6800 (Vulkan),769,114,4.267604112625122,26.712880808870395,True
2601.07411v1_SCALPEL Selective Capability Ablation via Low-rank.pdf,AMD RX 6800 (Vulkan),756,149,5.350445747375488,27.848147058231138,True
2601.07422v1_Two Pathways to Truthfulness On the Intrinsic Enco.pdf,AMD RX 6800 (Vulkan),959,183,6.6412389278411865,27.555099581319585,True
2601.07430v1_KALE Enhancing Knowledge Manipulation in Large Lan.pdf,AMD RX 6800 (Vulkan),992,135,5.1491405963897705,26.21796734287133,True
2601.07449v1_RLPO Residual Listwise Preference Optimization for.pdf,AMD RX 6800 (Vulkan),930,146,5.489262580871582,26.597379492969747,True
2601.07463v1_Puzzle it Out Local-to-Global World Model for Offl.pdf,AMD RX 6800 (Vulkan),907,109,4.713104724884033,23.127005734565333,True
2601.07464v1_IFDNS An Iterative Feedback-Driven Neuro-Symbolic .pdf,AMD RX 6800 (Vulkan),1052,150,5.663846492767334,26.48376861759023,True
2601.07468v1_Beyond Dialogue Time Temporal Semantic Memory for .pdf,AMD RX 6800 (Vulkan),988,163,6.538586854934692,24.928933975539895,True
2601.07469v1_Knowledge Distillation for LLM-Based Human Activit.pdf,AMD RX 6800 (Vulkan),943,159,6.010873556137085,26.452062003144526,True
2601.07470v1_Learning How to Remember A Meta-Cognitive Manageme.pdf,AMD RX 6800 (Vulkan),1025,149,6.2292845249176025,23.91927987941294,True
